Merchant Number - Business Name,Transaction Date,Terminal ID,System Batch Number,Device Batch Number,Request Amount,Settle Amount,Card Number,Card Product,Ext Card Type,Auth Code,System Trace Audit Number,Retrieval Reference,Message Type,Transaction Type,Extended Transaction Type,Transaction Paid,Pos Entry Mode,Device Serial,store,Batch Screening Status,Transaction Screening Status,Date Payment Extract,UTI,Online Reference Number,Issuing Bank,BIN,Processing,Product Type,Decline Reason
M002 - Merchant B,2025-07-06,T1956,48467,33328,4543,4523,**** **** **** 5911,Amex,Credit,710704,956703,3330192559,Refund,POS,Normal,No,Manual,DS2045,Store_2,Pending,Flagged,2025-07-07,234508,710085301,Bank C,430746,Express,Retail,Insufficient Funds
M001 - Merchant A,2025-07-12,T8022,15600,50764,865,847,**** **** **** 8683,Amex,Debit,996048,730271,5271561899,Refund,Online,Normal,No,Chip,DS2060,Store_4,Approved,Cleared,2025-07-13,538452,410493790,Bank C,466235,Standard,Food,
M001 - Merchant A,2025-07-07,T2184,95314,36641,1866,1825,**** **** **** 6854,MasterCard,Debit,465890,545101,6835343510,Refund,POS,Normal,No,Swipe,DS1784,Store_4,Approved,Cleared,2025-07-09,833429,570260911,Bank C,454748,Express,Food,Insufficient Funds
M001 - Merchant A,2025-07-02,T9716,98891,97545,3000,2965,**** **** **** 5780,Visa,Debit,368799,337549,9708547726,Refund,Online,Contactless,No,Manual,DS1853,Store_3,Approved,Flagged,2025-07-04,750429,256943484,Bank B,455609,Express,Services,
M002 - Merchant B,2025-07-10,T4854,25338,78027,2710,2678,**** **** **** 4124,Visa,Credit,711523,821772,7616977454,Sale,POS,Contactless,No,Chip,DS5465,Store_4,Pending,Flagged,2025-07-12,186672,739180919,Bank C,479634,Express,Services,Card Expired
M002 - Merchant B,2025-07-05,T9308,15949,61990,1200,1192,**** **** **** 2931,Visa,Credit,953049,850201,2899888366,Refund,Online,Contactless,No,Chip,DS8404,Store_1,Approved,Flagged,2025-07-05,546438,774788031,Bank C,416964,Express,Retail,Card Expired
M001 - Merchant A,2025-07-12,T5249,77215,79042,2794,2766,**** **** **** 6188,Amex,Credit,675581,178781,8573592537,Refund,POS,Normal,No,Chip,DS8421,Store_2,Approved,Cleared,2025-07-13,647337,955324405,Bank A,497379,Express,Food,Insufficient Funds
M002 - Merchant B,2025-07-03,T3489,19823,70160,1065,1061,**** **** **** 5611,Amex,Debit,718992,149115,7757559970,Refund,POS,Normal,Yes,Manual,DS6732,Store_4,Declined,Cleared,2025-07-03,604999,767225929,Bank C,489643,Standard,Retail,Card Expired
M002 - Merchant B,2025-07-02,T9945,37350,35351,1675,1642,**** **** **** 9306,Visa,Credit,103267,182745,2496094321,Sale,POS,Normal,No,Chip,DS8164,Store_1,Pending,Cleared,2025-07-02,791095,344103359,Bank C,483042,Express,Services,
M001 - Merchant A,2025-07-08,T7806,17357,42479,4182,4171,**** **** **** 4440,Amex,Credit,798646,737144,9171402512,Sale,Online,Contactless,No,Chip,DS2365,Store_1,Declined,Cleared,2025-07-08,179459,146547339,Bank A,472936,Standard,Retail,Card Expired
